Kota/Kabupaten,Tanggal,Imsak,Subuh,Terbit,Dhuha,Dzuhur,Ashar,Maghrib,Isya
Kota Jakarta,"Sabtu, 15/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:55,19:04
Kota Jakarta,"Minggu, 16/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:54,19:04
Kota Jakarta,"Senin, 17/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:54,19:03
Kota Jakarta,"Selasa, 18/04/2028",04:28,04:38,05:50,06:18,11:55,15:14,17:54,19:03
Kota Jakarta,"Rabu, 19/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:03
Kota Jakarta,"Kamis, 20/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:03
Kota Jakarta,"Jumat, 21/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:02
Kota Jakarta,"Sabtu, 22/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:52,19:02
Kota Jakarta,"Minggu, 23/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:52,19:02
Kota Jakarta,"Senin, 24/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:52,19:02
Kota Jakarta,"Selasa, 25/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Rabu, 26/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Kamis, 27/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Jumat, 28/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:50,19:01
Kota Jakarta,"Sabtu, 29/04/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:01
Kota Jakarta,"Minggu, 30/04/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:00
Kota Jakarta,"Senin, 01/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:00
Kota Jakarta,"Selasa, 02/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Rabu, 03/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Kamis, 04/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Jumat, 05/05/2028",04:26,04:36,05:50,06:18,11:53,15:13,17:49,19:00
